Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"LF0371";"La Bouble";"Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ";"28/02/2021";"18/08/2025";"20/08/2025";"46.21867098118489,2.952356433868415";"N 46 13 07";"E 002 57 08";"1650 ft";"Radio en Français


Tour de piste à 2100 ft 


atterrissage en 19 cause légère montée.


Il est recommandé de faire son point d'aboutissement aux deuxièmes balises soit à 40m du seuil de piste.


Décollage en 01


";"1";"herbe";"'19";"14";"406";"'01-19";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"lrae.djm@orange.fr";"+33 6 73 92 68 39";"Piste occasionnelle à usage strictement privée.


Usage restreint à quelques appareils seulement.


Utilisation interdite par vent de sud (Rouleaux), météo s'apparentant à une alti-surface.


Hélicoptères et entreprises de travaux aériens acceptées avec autorisations.


ATTENTION se trouve maintenant sous le RTBA : R144  800ft ASFC maxi en verticale piste lorsque activée.";"Jean-Marc";
"";"LF0372";"Montord";"Base ULM Accès privé";"5/06/2024";"28/08/2025";"28/05/2026";"46.293771,3.248489";"N 46 17 38";"E 003 14 55";"280 ft";"Merci d Éviter le survol à basse altitude des villages environnants…";"1";"herbe";"'27";"30";"300";"'09-27";"";"";"";"";"";"";"";"0";"invalid";"remi.touz@orange.fr";"+33 6 74 67 47 06";"Éviter le survol :


- des villages environnants,


- des logements en bout de piste .


Attention lorsque le vent est nord (sous le vent).





Piste libre d’accès , même si ça fait toujours plaisir de Prévenir le propriétaire si vous avez besoin d’utiliser la piste. 





Plancher : 150m


Plafond: 2500m (TMA de Clermont)





Piste de 300 m  en 09 et en 27





Sur place :


Balisage blanc et manche à air extincteur";"Flychallenger";
"";"LF0373";"La Maison  Neuve";"Base ULM. Usage strictement privé (pas de visiteurs).";"28/09/2024";"1/10/2024";"4/10/2024";"46.38008158500151,3.650817205843766";"N 46 22 48";"E 003 39 03";"1000 ft";"Atterrissage uniquement en 34.";"1";"herbe";"'34";"20";"250";"'16-34";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"gchantepie@yahoo.fr";"+33 6 20 51 12 75";"Piste Privée. Pas de visiteurs.


Piste non utilisable du 1er mars au 31 mai.";"Guillaume CHEVALLIER-CHANTEPIE";
"";"LF0421";"Clamensane les 3 Fontaines";"!! Type de terrain mal défini !!";"8/03/2011";"26/03/2025";"20/05/2026";"44.314319,6.071526";"N 44 18 52";"E 006 04 17";"2933 ft";"voir consignes sur les Fiches AFPM :   https://www.afpm.fr";"1";"herbe";"'22";"20";"400";"'04-22";"";"";"";"";"";"123.065";"";"3,4,5";"Restauration sur place, Gîte à proximité, Camping possible";"";"";"IMPORTANT : Seules les fiches altisurfaces accessibles sur le site de l 'AFPM sont valides et tenues à jour, et il convient de les consulter avant d'entreprendre un vol sur cette altisurface pour en connaitre la situation d'ouverture/fermeture et les conditions d'accès.





Adhésion AFPM:  https://www.afpm.fr/adhesion/adhesion.php  -   tarifs réduits pour les membres du PNVM/FFPLUM  





Pilotes ULM:  Cursus montagne PNVM/FFPLUM fortement recommandé";"";
"oui";"LF0422";"Plateau de l'Alp";"Altisurface fermée";"8/03/2011";"6/12/2013";"10/12/2013";"44.350556,6.724166999999966";"N 44 21 02";"E 006 43 27";"7150 ft";"";"1";"neige";"";"";"600";"'12-30";"";"";"";"";"";"";"";"";"";"";"+33 4 92 62 60 75";"";"";
"";"LF0426";"Thorame Haute Les Serres";"AltiSurface en service ";"8/03/2011";"27/02/2016";"16/09/2020";"44.12305555555555,6.559999999999945";"N 44 07 23";"E 006 33 36";"6129 ft";"";"1";"herbe";"'31";"";"";"'13-31";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"";"+33 4 92 62 60 75";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";"";
"";"LF0429";"Sainte Croix sur Verdon";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"22/07/2022";"24/07/2022";"43.778675716043,6.159635219573829";"N 43 46 43";"E 006 09 35";"2190 ft";"Circuits obligatoirement à l'Est -- ne jamais survoler le petit bois des grandes antennes RMC -- 4 lignes électriques à 500m au N/O -- seuils décalés cause clôture électrique -- environnement sensible : Parc Régional -- survol campings, maisons interdit";"1";"herbe";"";"30";"650";"'13-31";"herbe";"";"";"";"'Inconnue";"123.500";"";"6,4,5";"Restauration &agrave proximité, Gîte à proximité, Camping possible";"aeromartin@free.fr";"+33 6 80 40 97 08";"Aérodrome privé. Strictement réservé aux planeurs et leurs remorqueurs.


Club de Motoplaneurs basé sur l'aérodrome de  Persan-Beaumont LFPA


Route de Ste-Croix à Moustiers traverser la ferme des Roux (située à l'écart de cette route), au delà : 150m à droite: la piste";"Mr André Martin Président de l'Aéro-Club du Lys";
"";"LF0430";"Seyne les Alpes";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"13/03/2025";"26/11/2025";"44.341944,6.372778";"N 44 20 31";"E 006 22 22";"1230 ft";"Pente de 30m sur 1000m montant en 13


décollage en 13 interdit 


décollage en 31 exclusif


pas de touche en go en 13


pas de survol du village 


Pas de passage en 13


piste préférentielle a l atterrissage 13


piste  préférentielle au décollage 31";"1";"herbe";"";"45";"850";"'13-31";"";"";"";"";"";"118.450";"A 400 m";"2,4,6";"Hangar possible, Gîte à proximité, Restauration &agrave proximité";"malvezinserge@gmail.com";"+33 6 84 38 92 20";"Aérodrome privé, 


Activité planeur treuil


ULM PPR limité 10/jour


hébergement sur place chalets tipi";"SAGA (SEYNE LES ALPES GLIDERS ASSOCIATION )";
"";"LF0431";"La Motte du Caire";"Vélisurface";"8/03/2011";"10/04/2025";"13/02/2026";"44.322860,6.031286";"N 44 19 22";"E 006 01 53";"650 ft";"Terrain privé, exclusivement réservé au vol à voile. Utilisation du treuil, altitude de largage : ~1200m QNH


Verticale et passage en dehors des horaires d'activité et uniquement sur contact radio avec appel téléphonique préalable";"1";"herbe";"'36";"50";"1170";"'18-36";"";"";"";"";"";"119.660";"non";"5";"Camping possible";"info@cvvmc.com";"+33 4 92 68 35 11";"Velisurface privée, réservé exclusivement au Vol à Voile. Aucun aéronef à moteur n'est autorisé à décoller. Les lancements s'effectuent exclusivement au treuil. Un pilote de planeur qui atterrit à La Motte du Caire devra effectuer un vol de double avec un instructeur avant d'être autorisé à décoller son planeur même s'il a déjà une pratique du décollage au treuil.


Webcam: https://www.cvvmc.com/webcam";"CVVMC";
"";"LF0434";"Thorame Haute Les Serres 2";"AltiSurface en service ";"8/03/2011";"26/09/2023";"18/12/2025";"44.115,6.538610999999946";"N 44 06 54";"E 006 32 19";"6398 ft";"";"2";"neige";"";"20";"350";"'02-20";"neige";"";"20";"300";"'05-23";"123.065";"";"0";"invalid";"";"+33 4 92 62 60 75";"Sur neige uniquement


Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe 


Contactez l'AFPM pour de plus amples renseignements sur ce terrain.


";"";
"";"LF0451";"Oraison";"Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ";"4/10/2011";"22/05/2025";"24/05/2025";"43.921884419506185,5.9041428565979";"N 43 55 19";"E 005 54 15";"1150 ft";"Piste courte, délicate, vent 5kt max


Verticale terrain 2000ft QNH. Nuisances sonores !


Vent arrière côté ouest.


Atterrissage en 01 - décollage obligatoire en 19.


Activités montgolfières, drone, hippique possibles.


Radio et licence FFPLUM OBLIGATOIRE


";"1";"herbe";"";"10";"150";"'01-19";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 6 32 65 83 12";"Terrain fermé lors des courses hippiques. Le stationnement, dépôt, parcage extérieur de tout appareil sur la plateforme est interdit au-delà de 12h00 et la nuit. Selon l'arrêté préfectoral n°82-4627, les activités lucratives, commerciales ainsi que l’enseignement ne devront avoir lieu sur la base.


Activité montgolfière en accord avec Delta Provence, les vols de drone sont encadrés par préfecture.


Contact MANGIN Dominique, 0632658312


 ";"Delta Provence:";
"";"LF0452";"Ségriès";"Base ULM accès libre Utilisation EPISODIQUE ";"8/03/2011";"26/12/2015";"14/04/2023";"43.86777800000001,6.178256767211906";"N 43 52 04";"E 006 10 42";"2657 ft";"Attention, piste dans le TdP de Puimoisson !! ...";"1";"herbe";"";"20";"400";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"";"";"";
"";"LF0453";"Cruis Mas Des Grailles";"Base ULM Accès privé";"27/09/2011";"24/02/2025";"3/11/2025";"44.060283,5.853009";"N 44 03 37";"E 005 51 11";"2270 ft";"Altisurface réservée aux ULM. Atterrissage obligatoire en 35, la piste a une pente de 10 %. Forts rabattants en été.


Le point d'aboutissement en 35 est au niveau des premières balises.


PAS DE REMISE DE GAZ APRÈS LE PASSAGE DU RIDEAU D'ARBRES,";"1";"herbe";"'35";"10";"250";"'17-35";"";"";"";"";"";"125.335";"possible";"4,5,6";"Gîte à proximité, Camping possible, Restauration &agrave proximité";"masdesgrailles@gmail.com";"+33 4 92 77 04 83";"Le mas des Grailles est un Gîte de France pourvu d'une piste ULM de 250m, (POR 25m à chaque extrémité)


L'accès à la piste nécessite une formation montagne.


PPR OBLIGATOIRE. Pour votre sécurité et pour obtenir les dernières consignes, contactez impérativement le gestionnaire du terrain par téléphone avant de venir.





Chambres avec petit déjeuners, ou gite en gestion libre pour plusieurs jours.


Restaurants 1 ou 3 km.";"";
"";"LF0456";"Banon";"AltiSurface en service ";"8/03/2012";"23/08/2017";"15/06/2026";"44.072281,5.639222";"N 44 04 20";"E 005 38 21";"3723 ft";"TdP main gauche, atterrissage face au nord, décollage face au sud, aérologie délicate.


Ne pas utiliser la piste est-ouest cause nuisances et état de surface.


Axe de piste 17, présence possible de parapentes. Étape de base rapprochée conseillée.";"1";"herbe";"'35";"15";"500";"'17-35";"";"";"";"";"";"123.065";"néant";"0";"invalid";"pierrelouisbremond@gmail.com";"+33 7 82 32 27 13";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe





Localité la plus proche (Banon) à 6 km à pied.";"Mr Pierre Brémond";
"";"LF0458";"Thorame-Haute Chamatte";"AltiSurface en service ";"13/04/2015";"6/02/2016";"3/11/2025";"44.139722,6.548333";"N 44 08 23";"E 006 32 54";"6827 ft";"";"1";"neige";"";"20";"350";"'01-19";"";"";"";"";"";"123.065";"";"0";"invalid";"";"+33 4 92 62 60 75";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";"";
"oui";"LF0459";"Thorame Basse";"Base ULM Réglementé Avec Restrictions Autorisation OBLIGATOIRE ";"1/12/2013";"4/11/2024";"4/09/2025";"44.076944444444,6.47361111111104";"N 44 04 37";"E 006 28 25";"3609 ft";"Terrain de type altisurface situé à 300m au NW du hameau de la-Bâtie





Atterrissage en 31, tour de piste côté NE





Talus au seuil 31, fossé au bout de champ, rotors et turbulence par vent de NW.";"1";"herbe";"'31";"20";"300";"'13-31";"herbe";"";"";"";"'Inconnue";"130.00";"non";"0";"invalid";"brunobichon@sfr.fr";"+33 6 10 08 01 12";"Terrain occasionnel, demander l'autorisation avant de venir.";"";
"";"LF0460";"La Mure Argens";"Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ";"15/01/2020";"22/03/2021";"18/12/2025";"43.983075553631835,6.531732177734382";"N 43 58 59";"E 006 31 54";"3018 ft";"";"1";"herbe";"'21";"20";"400";"'03-21";"herbe";"";"";"";"'Inconnue";"123.065";"oui";"6,4";"Restauration &agrave proximité, Gîte à proximité";"lesailesduverdon@gmail.com";"+33 6 86 91 59 04";"Terrain occasionnel utilisable uniquement par son propriétaire et ses invités.


Environnement de montagne, zone sensible aux nuisances.


Forte activité vol libre à proximité, Respectez les trajectoire d’arrivée/départ, évitez le survol des habitations.


";"";
"oui";"LF0461";"Valensole";"Base ULM fermée définitivement";"9/06/2021";"28/04/2022";"30/04/2022";"43.84968420554095,5.978559219206057";"N 43 50 59";"E 005 58 43";"1936 ft";"";"2";"herbe";"";"";"";"'omnidir";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"";"";"";"";
"oui";"LF0462";"Valensol";"Base ULM fermée définitivement";"10/07/2023";"7/10/2023";"9/10/2023";"43.84972222222222,5.978888888888889";"N 43 50 59";"E 005 58 44";"2133 ft";"";"1";"herbe";"";"";"";"'Inconnue";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"";"";"";"";
"oui";"LF0522";"Col Saint Jean";"Altisurface fermée";"10/04/2011";"6/12/2013";"10/12/2013";"44.413889,6.373056";"N 44 24 50";"E 006 22 23";"6201 ft";"Altisurface utilisable en hiver par neige avec skis. Présence fréquente de skieurs et de randonneurs.";"1";"neige";"'07";"25";"450";"'07-25";"";"";"";"";"";"";"";"";"";"";"+33 4 92 05 04 36";"";"";
"";"LF0523";"Glacier Lombard";"AltiSurface en service ";"8/03/2011";"12/05/2024";"3/11/2025";"45.108333,6.322222";"N 45 06 30";"E 006 19 20";"10695 ft";"Reco E en W. Approche verticale Torrent de Maurian puis N Aiguille de Goléon.


Finale cap 310. Remise des gaz impossible en courte finale.";"1";"neige";"'31";"";"";"'13-31";"";"";"";"";"";"123.065";"";"0";"invalid";"";"";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";"Mairie de La Grave";
"";"LF0524";"Grand Terrus";"AltiSurface en service ";"8/03/2011";"28/08/2017";"3/11/2025";"44.422778,5.644167";"N 44 25 22";"E 005 38 39";"2871 ft";"Piste de montagne : pente 15 %


atterrissage en 02 


décollage en 20. 


Seuil de piste 02 à 2700'. 


Arbres et ligne électrique en courte finale 02. 


Tour de piste main droite,


clotures éléctriques autour du terrain protection contre les sangliers";"1";"herbe";"'02";"25";"295";"'02-20";"";"";"";"";"";"123.065";"";"0";"invalid";"";"+33 4 92 62 60 75";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";"";
"oui";"LF0535";"Le Buzon Gap";"Base ULM fermée définitivement";"8/03/2011";"8/03/2011";"2/03/2014";"44.603333,6.106111";"N 44 36 12";"E 006 06 22";"";"";"1";"herbe";"";"";"";"'Inconnue";"herbe";"";"";"";"'Inconnue";"";"";"";"";"";"";"";"";
"oui";"LF0536";"L'Ile d'Oriane";"Base ULM fermée temporairement ";"8/03/2011";"17/09/2021";"11/04/2022";"44.32,5.791944444444445";"N 44 19 12";"E 005 47 31";"1873 ft";"Tour de piste ULM (sauf classe1) à droite côté route 1075, survol agglomération et CHS LARAGNE INTERDIT 


Pénétration dans la zone VOL LIBRE INTERDITE: à gauche du terrain  (rivière Buech et crête de Chabre).


Priorité vol libre en approche





";"1";"herbe";"'31";"75";"470";"'13-31";"herbe";"";"0";"0";"'Inconnue";"123.500";"24h/24 à 2km";"0";"invalid";"gilles.sinelle@hotmail.fr";"+33 6 85 20 90 02";"Attention : activité vol libre importante ouvrez l'oeil++, 


Zone approche vol libre à gauche côté rivière Buech et crête de Chabre, ne pas pénétrer !


QFU 13 attention présence mat de 9m à droite de l'axe 


Au sol stationnement vers parking auto côté manche à air


Attention turbulences par vent d'Ouest


Avitaillement pompe 24/24 à 2 km ou tel exploitant si besoin


";"Club Ulm val Buech Meouge";
"";"LF0538";"Saint Etienne en Devoluy";"AltiSurface en service ";"11/07/2011";"26/12/2015";"16/09/2020";"44.66803430605305,5.90482365078401";"N 44 40 05";"E 005 54 17";"6201 ft";"Tour de piste 21 à main droite. 


Piste fort caillouteuse : dégâts possibles à l'aéronef (volets, hélice, profondeur)


Pente de 10 à 17%, bas de la pente 6037', sommet 6201'. 


Après décollage en 03, virage à droite en passant au Nord de Super-Dévoluy.";"1";"terre";"'21";"40";"445";"'03-21";"herbe";"";"";"";"'Inconnue";"";"";"4";"Gîte à proximité";"";"";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";"";
"";"LF0551";"Crots";"Base ULM Réglementé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"15/10/2024";"17/10/2024";"44.53657313242666,6.43500720962345";"N 44 32 12";"E 006 26 06";"2631 ft";"Tour de piste des ULM 1000 ft ";"1";"terre";"' 24";"40";"400";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"NIL";"0";"invalid";"backbone18@gmail.com";"+33 6 09 50 39 47";"Piste privée, accès interdit par arrêté préfectoral à tout aéronef, parapente et aéromodélisme compris.


Suite à l'arrêté préfectoral le survol de la piste ULM est interdit aux parapentes, forcément interdit de se poser sur la piste ULM ou de faire du gonflage.


Contact et informations


Thierry Simonet            Rolland JAME


T: 06 09 50 39 47     T: 06 09 34 39 44                        ";"AUPAC";
"";"LF0553";"Colombe d'Eyguians";"AltiSurface en service ";"23/07/2012";"7/11/2015";"18/12/2025";"44.365007359327,5.786721801757835";"N 44 21 54";"E 005 47 12";"2410 ft";"Pente 10% en montée sur 04.


Atterrissage en 04


Décollage en 22";"1";"terre";"'04";"25";"320";"'04-22";"herbe";"";"";"";"'Inconnue";"123.065";"";"0";"invalid";"";"+33 4 92 62 60 75";"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe





Nota: La longueur utile de la piste est de 280m";"";
